city_name,state_Name,percentChange
Raymondville,TX,263.3072974
Miami,OK,189.6484386
Sevierville,TN,155.2780084
Jackson,WY,140.0690331
Blackfoot,ID,110.2095748
Grants,NM,102.2370404
